product,type,inches,ram,os,weight,price,screen,screenw,screenh,touchscreen,ipspanel,retina,cpu_brand,cpu_freq,cpu_model,primary_storage,secondary_storage,primary_storage_type,secondary_storage_type,gpu_brand,gpu_model,total_storage_gb,storage_type,cpu_generation,price_segment
MacBook Pro,Ultrabook,13.3,8,macOS,1.34,1340,Standard,2560,1600,No,Yes,Yes,Intel,2.3,Core i5,128,0,SSD,No,Intel,Iris Plus Graphics 640,0,SSD,Unknown,High
Macbook Air,Ultrabook,13.3,8,macOS,1.34,899,Standard,1440,900,No,No,No,Intel,1.8,Core i5,128,0,Flash Storage,No,Intel,HD Graphics 6000,0,Unknown,Unknown,Mid
250 G6,Notebook,15.6,8,No OS,1.86,575,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620,0,SSD,7th Gen,Low
MacBook Pro,Ultrabook,15.4,16,macOS,1.83,2537,Standard,2880,1800,No,Yes,Yes,Intel,2.7,Core i7,512,0,SSD,No,AMD,Radeon Pro 455,0,SSD,Unknown,Premium
MacBook Pro,Ultrabook,13.3,8,macOS,1.37,1804,Standard,2560,1600,No,Yes,Yes,Intel,3.1,Core i5,256,0,SSD,No,Intel,Iris Plus Graphics 650,0,SSD,Unknown,Premium
Aspire 3,Notebook,15.6,4,Windows 10,2.1,400,Standard,1366,768,No,No,No,AMD,3,A9-Series 9420,500,0,HDD,No,AMD,Radeon R5,0,HDD,9th Gen,Low
MacBook Pro,Ultrabook,15.4,16,Mac OS X,2.04,2140,Standard,2880,1800,No,Yes,Yes,Intel,2.2,Core i7,256,0,Flash Storage,No,Intel,Iris Pro Graphics,0,Unknown,Unknown,Premium
Macbook Air,Ultrabook,13.3,8,macOS,1.34,1159,Standard,1440,900,No,No,No,Intel,1.8,Core i5,256,0,Flash Storage,No,Intel,HD Graphics 6000,0,Unknown,Unknown,High
ZenBook UX430UN,Ultrabook,14,16,Windows 10,1.3,1495,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,512,0,SSD,No,Nvidia,GeForce MX150,0,SSD,8th Gen,High
Swift 3,Ultrabook,14,8,Windows 10,1.6,770,Full HD,1920,1080,No,Yes,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620,0,SSD,8th Gen,Mid
250 G6,Notebook,15.6,4,No OS,1.86,394,Standard,1366,768,No,No,No,Intel,2.5,Core i5 7200U,500,0,HDD,No,Intel,HD Graphics 620,0,HDD,7th Gen,Low
250 G6,Notebook,15.6,4,No OS,1.86,345,Full HD,1920,1080,No,No,No,Intel,2,Core i3 6006U,500,0,HDD,No,Intel,HD Graphics 520,0,HDD,6th Gen,Low
MacBook Pro,Ultrabook,15.4,16,macOS,1.83,2440,HD,2880,1800,No,Yes,Yes,Intel,2.8,Core i7,256,0,SSD,No,AMD,Radeon Pro 555,0,SSD,Unknown,Premium
Inspiron 3567,Notebook,15.6,4,Windows 10,2.2,499,Full HD,1920,1080,No,No,No,Intel,2,Core i3 6006U,256,0,SSD,No,AMD,Radeon R5 M430,0,SSD,6th Gen,Low
"MacBook 12""",Ultrabook,12,8,macOS,0.92,1262,Standard,2304,1440,No,Yes,Yes,Intel,1.2,Core M m3,256,0,SSD,No,Intel,HD Graphics 615,0,SSD,Unknown,High
MacBook Pro,Ultrabook,13.3,8,macOS,1.37,1519,Standard,2560,1600,No,Yes,Yes,Intel,2.3,Core i5,256,0,SSD,No,Intel,Iris Plus Graphics 640,0,SSD,Unknown,Premium
Inspiron 3567,Notebook,15.6,8,Windows 10,2.2,745,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,AMD,Radeon R5 M430,0,SSD,7th Gen,Mid
